FL_Test | INFO flwr 2024-04-22 18:27:48,539 | app.py:150 | Starting Flower server, config: num_rounds=3, no round_timeout
FL_Test | INFO flwr 2024-04-22 18:34:00,867 | server.py:110 | 
FL_Test | INFO flwr 2024-04-22 18:34:00,867 | server.py:111 | [ROUND 3]
FL_Test | INFO flwr 2024-04-22 18:34:00,867 | server.py:224 | configure_fit: strategy sampled 3 clients (out of 3)
FL_Test | INFO flwr 2024-04-22 18:34:01,529 | server.py:238 | aggregate_fit: received 3 results and 0 failures
FL_Test | INFO flwr 2024-04-22 18:34:01,530 | server.py:176 | configure_evaluate: strategy sampled 3 clients (out of 3)
FL_Test | INFO flwr 2024-04-22 18:34:01,610 | server.py:190 | aggregate_evaluate: received 3 results and 0 failures
FL_Test | INFO flwr 2024-04-22 18:34:01,610 | server.py:487 | 
FL_Test | INFO flwr 2024-04-22 18:34:01,613 | server.py:488 | [SUMMARY]
FL_Test | INFO flwr 2024-04-22 18:34:01,613 | server.py:489 | Run finished 3 rounds in 10.90s
FL_Test | INFO flwr 2024-04-22 18:34:01,615 | server.py:492 | History (loss, distributed):
FL_Test | INFO flwr 2024-04-22 18:34:01,615 | server.py:494 | 	('\tround 1: 20.505107879638672\n'
FL_Test | INFO flwr 2024-04-22 18:34:01,615 | server.py:494 | 	 '\tround 2: 20.505107879638672\n'
FL_Test | INFO flwr 2024-04-22 18:34:01,615 | server.py:494 | 	 '\tround 3: 20.505107879638672\n')History (metrics, distributed, fit):
FL_Test | INFO flwr 2024-04-22 18:34:01,616 | server.py:494 | 	{'Accuracy': [(1, 0.0), (2, 0.0), (3, 0.0)],
FL_Test | INFO flwr 2024-04-22 18:34:01,616 | server.py:494 | 	 'F1_Score': [(1, 0.0), (2, 0.0), (3, 0.0)],
FL_Test | INFO flwr 2024-04-22 18:34:01,616 | server.py:494 | 	 'Precision': [(1, 0.0), (2, 0.0), (3, 0.0)],
FL_Test | INFO flwr 2024-04-22 18:34:01,616 | server.py:494 | 	 'Recall': [(1, 0.0), (2, 0.0), (3, 0.0)]}History (metrics, distributed, evaluate):
FL_Test | INFO flwr 2024-04-22 18:34:01,616 | server.py:494 | 	{'Accuracy': [(1, 0.423077), (2, 0.423077), (3, 0.423077)],
FL_Test | INFO flwr 2024-04-22 18:34:01,616 | server.py:494 | 	 'F1_Score': [(1, 0.425641), (2, 0.425641), (3, 0.425641)],
FL_Test | INFO flwr 2024-04-22 18:34:01,616 | server.py:494 | 	 'Precision': [(1, 0.43956), (2, 0.43956), (3, 0.43956)],
FL_Test | INFO flwr 2024-04-22 18:34:01,616 | server.py:494 | 	 'Recall': [(1, 0.423077), (2, 0.423077), (3, 0.423077)]}
FL_Test | INFO flwr 2024-04-22 18:34:01,616 | server.py:495 | 
FL_Test | INFO flwr 2024-04-22 18:35:28,100 | app.py:150 | Starting Flower server, config: num_rounds=3, no round_timeout
FL_Test | INFO flwr 2024-04-22 18:35:28,107 | app.py:163 | Flower ECE: gRPC server running (3 rounds), SSL is disabled
FL_Test | INFO flwr 2024-04-22 18:35:28,108 | server.py:92 | [INIT]
FL_Test | INFO flwr 2024-04-22 18:35:28,108 | server.py:279 | Requesting initial parameters from one random client
FL_Test | INFO flwr 2024-04-22 18:35:37,650 | server.py:285 | Received initial parameters from one random client
FL_Test | INFO flwr 2024-04-22 18:35:37,650 | server.py:94 | Evaluating initial global parameters
FL_Test | INFO flwr 2024-04-22 18:35:37,651 | server.py:110 | 
FL_Test | INFO flwr 2024-04-22 18:35:37,651 | server.py:111 | [ROUND 1]
FL_Test | INFO flwr 2024-04-22 18:35:50,125 | server.py:224 | configure_fit: strategy sampled 3 clients (out of 3)
FL_Test | INFO flwr 2024-04-22 18:35:50,659 | server.py:238 | aggregate_fit: received 3 results and 0 failures
FL_Test | INFO flwr 2024-04-22 18:35:50,659 | server.py:176 | configure_evaluate: strategy sampled 3 clients (out of 3)
FL_Test | INFO flwr 2024-04-22 18:35:50,735 | server.py:190 | aggregate_evaluate: received 3 results and 0 failures
FL_Test | INFO flwr 2024-04-22 18:35:50,736 | server.py:110 | 
FL_Test | INFO flwr 2024-04-22 18:35:50,736 | server.py:111 | [ROUND 2]
FL_Test | INFO flwr 2024-04-22 18:35:50,736 | server.py:224 | configure_fit: strategy sampled 3 clients (out of 3)
FL_Test | INFO flwr 2024-04-22 18:35:51,204 | server.py:238 | aggregate_fit: received 3 results and 0 failures
FL_Test | INFO flwr 2024-04-22 18:35:51,205 | server.py:176 | configure_evaluate: strategy sampled 3 clients (out of 3)
FL_Test | INFO flwr 2024-04-22 18:35:51,283 | server.py:190 | aggregate_evaluate: received 3 results and 0 failures
FL_Test | INFO flwr 2024-04-22 18:35:51,283 | server.py:110 | 
FL_Test | INFO flwr 2024-04-22 18:35:51,283 | server.py:111 | [ROUND 3]
FL_Test | INFO flwr 2024-04-22 18:35:51,283 | server.py:224 | configure_fit: strategy sampled 3 clients (out of 3)
FL_Test | INFO flwr 2024-04-22 18:35:51,838 | server.py:238 | aggregate_fit: received 3 results and 0 failures
FL_Test | INFO flwr 2024-04-22 18:35:51,838 | server.py:176 | configure_evaluate: strategy sampled 3 clients (out of 3)
FL_Test | INFO flwr 2024-04-22 18:35:51,922 | server.py:190 | aggregate_evaluate: received 3 results and 0 failures
FL_Test | INFO flwr 2024-04-22 18:35:51,923 | server.py:487 | 
FL_Test | INFO flwr 2024-04-22 18:35:51,923 | server.py:488 | [SUMMARY]
FL_Test | INFO flwr 2024-04-22 18:35:51,923 | server.py:489 | Run finished 3 rounds in 14.27s
FL_Test | INFO flwr 2024-04-22 18:35:51,924 | server.py:492 | History (loss, distributed):
FL_Test | INFO flwr 2024-04-22 18:35:51,925 | server.py:494 | 	('\tround 1: 15.037011782328287\n'
FL_Test | INFO flwr 2024-04-22 18:35:51,925 | server.py:494 | 	 '\tround 2: 15.037011782328287\n'
FL_Test | INFO flwr 2024-04-22 18:35:51,925 | server.py:494 | 	 '\tround 3: 15.037011782328287\n')History (metrics, distributed, fit):
FL_Test | INFO flwr 2024-04-22 18:35:51,925 | server.py:494 | 	{'Accuracy': [(1, 0.0), (2, 0.0), (3, 0.0)],
FL_Test | INFO flwr 2024-04-22 18:35:51,925 | server.py:494 | 	 'F1_Score': [(1, 0.0), (2, 0.0), (3, 0.0)],
FL_Test | INFO flwr 2024-04-22 18:35:51,925 | server.py:494 | 	 'Precision': [(1, 0.0), (2, 0.0), (3, 0.0)],
FL_Test | INFO flwr 2024-04-22 18:35:51,925 | server.py:494 | 	 'Recall': [(1, 0.0), (2, 0.0), (3, 0.0)]}History (metrics, distributed, evaluate):
FL_Test | INFO flwr 2024-04-22 18:35:51,926 | server.py:494 | 	{'Accuracy': [(1, 0.576923), (2, 0.576923), (3, 0.576923)],
FL_Test | INFO flwr 2024-04-22 18:35:51,926 | server.py:494 | 	 'F1_Score': [(1, 0.422139), (2, 0.422139), (3, 0.422139)],
FL_Test | INFO flwr 2024-04-22 18:35:51,926 | server.py:494 | 	 'Precision': [(1, 0.33284), (2, 0.33284), (3, 0.33284)],
FL_Test | INFO flwr 2024-04-22 18:35:51,926 | server.py:494 | 	 'Recall': [(1, 0.576923), (2, 0.576923), (3, 0.576923)]}
FL_Test | INFO flwr 2024-04-22 18:35:51,926 | server.py:495 | 
FL_Test | INFO flwr 2024-04-22 18:37:08,561 | app.py:150 | Starting Flower server, config: num_rounds=3, no round_timeout
FL_Test | INFO flwr 2024-04-22 18:37:08,568 | app.py:163 | Flower ECE: gRPC server running (3 rounds), SSL is disabled
FL_Test | INFO flwr 2024-04-22 18:37:08,568 | server.py:92 | [INIT]
FL_Test | INFO flwr 2024-04-22 18:37:08,569 | server.py:279 | Requesting initial parameters from one random client
FL_Test | INFO flwr 2024-04-22 18:37:14,384 | server.py:285 | Received initial parameters from one random client
FL_Test | INFO flwr 2024-04-22 18:37:14,384 | server.py:94 | Evaluating initial global parameters
FL_Test | INFO flwr 2024-04-22 18:37:14,385 | server.py:110 | 
FL_Test | INFO flwr 2024-04-22 18:37:14,385 | server.py:111 | [ROUND 1]
FL_Test | INFO flwr 2024-04-22 18:37:23,849 | server.py:224 | configure_fit: strategy sampled 3 clients (out of 3)
FL_Test | INFO flwr 2024-04-22 18:37:24,750 | server.py:238 | aggregate_fit: received 3 results and 0 failures
FL_Test | INFO flwr 2024-04-22 18:37:24,750 | server.py:176 | configure_evaluate: strategy sampled 3 clients (out of 3)
FL_Test | INFO flwr 2024-04-22 18:37:24,832 | server.py:190 | aggregate_evaluate: received 3 results and 0 failures
FL_Test | INFO flwr 2024-04-22 18:37:24,832 | server.py:110 | 
FL_Test | INFO flwr 2024-04-22 18:37:24,832 | server.py:111 | [ROUND 2]
FL_Test | INFO flwr 2024-04-22 18:37:24,832 | server.py:224 | configure_fit: strategy sampled 3 clients (out of 3)
FL_Test | INFO flwr 2024-04-22 18:37:25,658 | server.py:238 | aggregate_fit: received 3 results and 0 failures
FL_Test | INFO flwr 2024-04-22 18:37:25,658 | server.py:176 | configure_evaluate: strategy sampled 3 clients (out of 3)
FL_Test | INFO flwr 2024-04-22 18:37:25,714 | server.py:190 | aggregate_evaluate: received 3 results and 0 failures
FL_Test | INFO flwr 2024-04-22 18:37:25,714 | server.py:110 | 
FL_Test | INFO flwr 2024-04-22 18:37:25,714 | server.py:111 | [ROUND 3]
FL_Test | INFO flwr 2024-04-22 18:37:25,714 | server.py:224 | configure_fit: strategy sampled 3 clients (out of 3)
FL_Test | INFO flwr 2024-04-22 18:37:26,498 | server.py:238 | aggregate_fit: received 3 results and 0 failures
FL_Test | INFO flwr 2024-04-22 18:37:26,499 | server.py:176 | configure_evaluate: strategy sampled 3 clients (out of 3)
FL_Test | INFO flwr 2024-04-22 18:37:26,575 | server.py:190 | aggregate_evaluate: received 3 results and 0 failures
FL_Test | INFO flwr 2024-04-22 18:37:26,575 | server.py:487 | 
FL_Test | INFO flwr 2024-04-22 18:37:26,576 | server.py:488 | [SUMMARY]
FL_Test | INFO flwr 2024-04-22 18:37:26,576 | server.py:489 | Run finished 3 rounds in 12.19s
FL_Test | INFO flwr 2024-04-22 18:37:26,576 | server.py:492 | History (loss, distributed):
FL_Test | INFO flwr 2024-04-22 18:37:26,576 | server.py:494 | 	('\tround 1: 15.037011782328287\n'
FL_Test | INFO flwr 2024-04-22 18:37:26,577 | server.py:494 | 	 '\tround 2: 15.037011782328287\n'
FL_Test | INFO flwr 2024-04-22 18:37:26,577 | server.py:494 | 	 '\tround 3: 15.037011782328287\n')History (metrics, distributed, fit):
FL_Test | INFO flwr 2024-04-22 18:37:26,577 | server.py:494 | 	{'Accuracy': [(1, 0.0), (2, 0.0), (3, 0.0)],
FL_Test | INFO flwr 2024-04-22 18:37:26,577 | server.py:494 | 	 'F1_Score': [(1, 0.0), (2, 0.0), (3, 0.0)],
FL_Test | INFO flwr 2024-04-22 18:37:26,577 | server.py:494 | 	 'Precision': [(1, 0.0), (2, 0.0), (3, 0.0)],
FL_Test | INFO flwr 2024-04-22 18:37:26,577 | server.py:494 | 	 'Recall': [(1, 0.0), (2, 0.0), (3, 0.0)]}History (metrics, distributed, evaluate):
FL_Test | INFO flwr 2024-04-22 18:37:26,577 | server.py:494 | 	{'Accuracy': [(1, 0.576923), (2, 0.576923), (3, 0.576923)],
FL_Test | INFO flwr 2024-04-22 18:37:26,577 | server.py:494 | 	 'F1_Score': [(1, 0.422139), (2, 0.422139), (3, 0.422139)],
FL_Test | INFO flwr 2024-04-22 18:37:26,577 | server.py:494 | 	 'Precision': [(1, 0.33284), (2, 0.33284), (3, 0.33284)],
FL_Test | INFO flwr 2024-04-22 18:37:26,577 | server.py:494 | 	 'Recall': [(1, 0.576923), (2, 0.576923), (3, 0.576923)]}
FL_Test | INFO flwr 2024-04-22 18:37:26,577 | server.py:495 | 
FL_Test | INFO flwr 2024-05-14 20:15:45,030 | app.py:150 | Starting Flower server, config: num_rounds=3, no round_timeout
FL_Test | INFO flwr 2024-05-14 20:15:58,397 | app.py:150 | Starting Flower server, config: num_rounds=3, no round_timeout
FL_Test | INFO flwr 2024-05-14 20:15:58,405 | app.py:163 | Flower ECE: gRPC server running (3 rounds), SSL is disabled
FL_Test | INFO flwr 2024-05-14 20:15:58,405 | server.py:92 | [INIT]
FL_Test | INFO flwr 2024-05-14 20:15:58,405 | server.py:279 | Requesting initial parameters from one random client
FL_Test | INFO flwr 2024-05-14 20:16:11,001 | server.py:285 | Received initial parameters from one random client
FL_Test | INFO flwr 2024-05-14 20:16:11,001 | server.py:94 | Evaluating initial global parameters
FL_Test | INFO flwr 2024-05-14 20:16:11,001 | server.py:110 | 
FL_Test | INFO flwr 2024-05-14 20:16:11,001 | server.py:111 | [ROUND 1]
FL_Test | INFO flwr 2024-05-14 20:17:14,056 | server.py:224 | configure_fit: strategy sampled 3 clients (out of 3)
FL_Test | INFO flwr 2024-05-14 20:17:14,810 | server.py:238 | aggregate_fit: received 3 results and 0 failures
FL_Test | INFO flwr 2024-05-14 20:17:14,810 | server.py:176 | configure_evaluate: strategy sampled 3 clients (out of 3)
FL_Test | INFO flwr 2024-05-14 20:17:14,866 | server.py:190 | aggregate_evaluate: received 3 results and 0 failures
FL_Test | INFO flwr 2024-05-14 20:17:14,867 | server.py:110 | 
FL_Test | INFO flwr 2024-05-14 20:17:14,867 | server.py:111 | [ROUND 2]
FL_Test | INFO flwr 2024-05-14 20:17:14,867 | server.py:224 | configure_fit: strategy sampled 3 clients (out of 3)
FL_Test | INFO flwr 2024-05-14 20:17:15,703 | server.py:238 | aggregate_fit: received 3 results and 0 failures
FL_Test | INFO flwr 2024-05-14 20:17:15,704 | server.py:176 | configure_evaluate: strategy sampled 3 clients (out of 3)
FL_Test | INFO flwr 2024-05-14 20:17:15,784 | server.py:190 | aggregate_evaluate: received 3 results and 0 failures
FL_Test | INFO flwr 2024-05-14 20:17:15,785 | server.py:110 | 
FL_Test | INFO flwr 2024-05-14 20:17:15,785 | server.py:111 | [ROUND 3]
FL_Test | INFO flwr 2024-05-14 20:17:15,785 | server.py:224 | configure_fit: strategy sampled 3 clients (out of 3)
FL_Test | INFO flwr 2024-05-14 20:17:16,536 | server.py:238 | aggregate_fit: received 3 results and 0 failures
FL_Test | INFO flwr 2024-05-14 20:17:16,537 | server.py:176 | configure_evaluate: strategy sampled 3 clients (out of 3)
FL_Test | INFO flwr 2024-05-14 20:17:16,583 | server.py:190 | aggregate_evaluate: received 3 results and 0 failures
FL_Test | INFO flwr 2024-05-14 20:17:16,583 | server.py:487 | 
FL_Test | INFO flwr 2024-05-14 20:17:16,583 | server.py:488 | [SUMMARY]
FL_Test | INFO flwr 2024-05-14 20:17:16,583 | server.py:489 | Run finished 3 rounds in 65.58s
FL_Test | INFO flwr 2024-05-14 20:17:16,585 | server.py:492 | History (loss, distributed):
FL_Test | INFO flwr 2024-05-14 20:17:16,585 | server.py:494 | 	('\tround 1: 15.037011782328287\n'
FL_Test | INFO flwr 2024-05-14 20:17:16,585 | server.py:494 | 	 '\tround 2: 15.037011782328287\n'
FL_Test | INFO flwr 2024-05-14 20:17:16,585 | server.py:494 | 	 '\tround 3: 15.037011782328287\n')History (metrics, distributed, fit):
FL_Test | INFO flwr 2024-05-14 20:17:16,586 | server.py:494 | 	{'Accuracy': [(1, 0.0), (2, 0.0), (3, 0.0)],
FL_Test | INFO flwr 2024-05-14 20:17:16,586 | server.py:494 | 	 'F1_Score': [(1, 0.0), (2, 0.0), (3, 0.0)],
FL_Test | INFO flwr 2024-05-14 20:17:16,586 | server.py:494 | 	 'Precision': [(1, 0.0), (2, 0.0), (3, 0.0)],
FL_Test | INFO flwr 2024-05-14 20:17:16,587 | server.py:494 | 	 'Recall': [(1, 0.0), (2, 0.0), (3, 0.0)]}History (metrics, distributed, evaluate):
FL_Test | INFO flwr 2024-05-14 20:17:16,587 | server.py:494 | 	{'Accuracy': [(1, 0.576923), (2, 0.576923), (3, 0.576923)],
FL_Test | INFO flwr 2024-05-14 20:17:16,587 | server.py:494 | 	 'F1_Score': [(1, 0.422139), (2, 0.422139), (3, 0.422139)],
FL_Test | INFO flwr 2024-05-14 20:17:16,587 | server.py:494 | 	 'Precision': [(1, 0.33284), (2, 0.33284), (3, 0.33284)],
FL_Test | INFO flwr 2024-05-14 20:17:16,587 | server.py:494 | 	 'Recall': [(1, 0.576923), (2, 0.576923), (3, 0.576923)]}
FL_Test | INFO flwr 2024-05-14 20:17:16,587 | server.py:495 | 
FL_Test | INFO flwr 2024-05-14 20:18:47,628 | app.py:150 | Starting Flower server, config: num_rounds=3, no round_timeout
FL_Test | INFO flwr 2024-05-14 20:18:47,635 | app.py:163 | Flower ECE: gRPC server running (3 rounds), SSL is disabled
FL_Test | INFO flwr 2024-05-14 20:18:47,636 | server.py:92 | [INIT]
FL_Test | INFO flwr 2024-05-14 20:18:47,636 | server.py:279 | Requesting initial parameters from one random client
FL_Test | INFO flwr 2024-05-14 20:18:53,308 | server.py:285 | Received initial parameters from one random client
FL_Test | INFO flwr 2024-05-14 20:18:53,309 | server.py:94 | Evaluating initial global parameters
FL_Test | INFO flwr 2024-05-14 20:18:53,309 | server.py:110 | 
FL_Test | INFO flwr 2024-05-14 20:18:53,309 | server.py:111 | [ROUND 1]
FL_Test | INFO flwr 2024-05-14 20:19:10,526 | server.py:224 | configure_fit: strategy sampled 3 clients (out of 3)
FL_Test | INFO flwr 2024-05-14 20:19:11,027 | server.py:238 | aggregate_fit: received 3 results and 0 failures
FL_Test | INFO flwr 2024-05-14 20:19:11,028 | server.py:176 | configure_evaluate: strategy sampled 3 clients (out of 3)
FL_Test | INFO flwr 2024-05-14 20:19:11,095 | server.py:190 | aggregate_evaluate: received 3 results and 0 failures
FL_Test | INFO flwr 2024-05-14 20:19:11,095 | server.py:110 | 
FL_Test | INFO flwr 2024-05-14 20:19:11,096 | server.py:111 | [ROUND 2]
FL_Test | INFO flwr 2024-05-14 20:19:11,096 | server.py:224 | configure_fit: strategy sampled 3 clients (out of 3)
FL_Test | INFO flwr 2024-05-14 20:19:11,671 | server.py:238 | aggregate_fit: received 3 results and 0 failures
FL_Test | INFO flwr 2024-05-14 20:19:11,671 | server.py:176 | configure_evaluate: strategy sampled 3 clients (out of 3)
FL_Test | INFO flwr 2024-05-14 20:19:11,749 | server.py:190 | aggregate_evaluate: received 3 results and 0 failures
FL_Test | INFO flwr 2024-05-14 20:19:11,749 | server.py:110 | 
FL_Test | INFO flwr 2024-05-14 20:19:11,749 | server.py:111 | [ROUND 3]
FL_Test | INFO flwr 2024-05-14 20:19:11,749 | server.py:224 | configure_fit: strategy sampled 3 clients (out of 3)
FL_Test | INFO flwr 2024-05-14 20:19:12,323 | server.py:238 | aggregate_fit: received 3 results and 0 failures
FL_Test | INFO flwr 2024-05-14 20:19:12,324 | server.py:176 | configure_evaluate: strategy sampled 3 clients (out of 3)
FL_Test | INFO flwr 2024-05-14 20:19:12,402 | server.py:190 | aggregate_evaluate: received 3 results and 0 failures
FL_Test | INFO flwr 2024-05-14 20:19:12,402 | server.py:487 | 
FL_Test | INFO flwr 2024-05-14 20:19:12,402 | server.py:488 | [SUMMARY]
FL_Test | INFO flwr 2024-05-14 20:19:12,402 | server.py:489 | Run finished 3 rounds in 19.09s
FL_Test | INFO flwr 2024-05-14 20:19:12,403 | server.py:492 | History (loss, distributed):
FL_Test | INFO flwr 2024-05-14 20:19:12,403 | server.py:494 | 	('\tround 1: 15.037011782328287\n'
FL_Test | INFO flwr 2024-05-14 20:19:12,403 | server.py:494 | 	 '\tround 2: 15.037011782328287\n'
FL_Test | INFO flwr 2024-05-14 20:19:12,403 | server.py:494 | 	 '\tround 3: 15.037011782328287\n')History (metrics, distributed, fit):
FL_Test | INFO flwr 2024-05-14 20:19:12,404 | server.py:494 | 	{'Accuracy': [(1, 0.0), (2, 0.0), (3, 0.0)],
FL_Test | INFO flwr 2024-05-14 20:19:12,404 | server.py:494 | 	 'F1_Score': [(1, 0.0), (2, 0.0), (3, 0.0)],
FL_Test | INFO flwr 2024-05-14 20:19:12,404 | server.py:494 | 	 'Precision': [(1, 0.0), (2, 0.0), (3, 0.0)],
FL_Test | INFO flwr 2024-05-14 20:19:12,404 | server.py:494 | 	 'Recall': [(1, 0.0), (2, 0.0), (3, 0.0)]}History (metrics, distributed, evaluate):
FL_Test | INFO flwr 2024-05-14 20:19:12,404 | server.py:494 | 	{'Accuracy': [(1, 0.576923), (2, 0.576923), (3, 0.576923)],
FL_Test | INFO flwr 2024-05-14 20:19:12,404 | server.py:494 | 	 'F1_Score': [(1, 0.422139), (2, 0.422139), (3, 0.422139)],
FL_Test | INFO flwr 2024-05-14 20:19:12,404 | server.py:494 | 	 'Precision': [(1, 0.33284), (2, 0.33284), (3, 0.33284)],
FL_Test | INFO flwr 2024-05-14 20:19:12,404 | server.py:494 | 	 'Recall': [(1, 0.576923), (2, 0.576923), (3, 0.576923)]}
FL_Test | INFO flwr 2024-05-14 20:19:12,404 | server.py:495 | 
FL_Test | INFO flwr 2024-05-14 20:41:07,374 | app.py:150 | Starting Flower server, config: num_rounds=3, no round_timeout
FL_Test | INFO flwr 2024-05-14 20:41:07,383 | app.py:163 | Flower ECE: gRPC server running (3 rounds), SSL is disabled
FL_Test | INFO flwr 2024-05-14 20:41:07,383 | server.py:92 | [INIT]
